"","ttm","logm","quote_date","expiry","m","name","w","call","put","iv"
"99",0.02,0.5596,2019-01-01,2019-01-08,1.74997237133111,"Prior x NN Model",0.0129960933700204,NA,NA,0.822727089028856
"100",0.02,0.6931,2019-01-01,2019-01-08,1.99990564110608,"Data",0.0186264899722569,NA,NA,0.9849516160985
"101",0.02,0.6931,2019-01-01,2019-01-08,1.99990564110608,"Prior",0.00803488958626986,NA,NA,0.646903263725127
"102",0.02,0.6931,2019-01-01,2019-01-08,1.99990564110608,"Prior x NN Model",0.0189413018524647,NA,NA,0.993240221773767
"103",0.02,0.9163,2019-01-01,2019-01-08,2.50002317042199,"Data",0.0316534787237801,NA,NA,1.28398546858219
"104",0.02,0.9163,2019-01-01,2019-01-08,2.50002317042199,"Prior",0.0106027889996767,NA,NA,0.743120847327783
"105",0.02,0.9163,2019-01-01,2019-01-08,2.50002317042199,"Prior x NN Model",0.0317217484116554,NA,NA,1.28536936187245
"106",0.02,1.0986,2019-01-01,2019-01-08,2.99996313422219,"Data",0.0446633025648194,NA,NA,1.52519299606673
"107",0.02,1.0986,2019-01-01,2019-01-08,2.99996313422219,"Prior",0.0127001581713557,NA,NA,0.813305951917713
"108",0.02,1.0986,2019-01-01,2019-01-08,2.99996313422219,"Prior x NN Model",0.0439532622694969,NA,NA,1.51302095486799
"109",0.04,-1.204,2019-01-01,2019-01-15,0.29999184140872,"Data",0.0575274445596858,NA,NA,1.22238264844222
"110",0.04,-1.204,2019-01-01,2019-01-15,0.29999184140872,"Prior",0.0317675098776817,NA,NA,0.90836673579179
"111",0.04,-1.204,2019-01-01,2019-01-15,0.29999184140872,"Prior x NN Model",0.057316567748785,NA,NA,1.22014016385371
"112",0.04,-0.9163,2019-01-01,2019-01-15,0.399996292766842,"Data",0.0336269925238893,NA,NA,0.934573901435235
"113",0.04,-0.9163,2019-01-01,2019-01-15,0.399996292766842,"Prior",0.0242268461734056,NA,NA,0.793264603884965
"114",0.04,-0.9163,2019-01-01,2019-01-15,0.399996292766842,"Prior x NN Model",0.0348347052931786,NA,NA,0.951208462999862
"115",0.04,-0.5108,2019-01-01,2019-01-15,0.600015374456569,"Data",0.0141440384671134,NA,NA,0.606116839002535
"116",0.04,-0.5108,2019-01-01,2019-01-15,0.600015374456569,"Prior",0.0135989049449563,NA,NA,0.594321722856068
"117",0.04,-0.5108,2019-01-01,2019-01-15,0.600015374456569,"Prior x NN Model",0.0140646481886506,NA,NA,0.604413382849477
"118",0.04,-0.2231,2019-01-01,2019-01-15,0.800034841810066,"Data",0.00578149039483934,NA,NA,0.387515911523822
"119",0.04,-0.2231,2019-01-01,2019-01-15,0.800034841810066,"Prior",0.00605951296165586,NA,NA,0.396724018753587
"120",0.04,-0.2231,2019-01-01,2019-01-15,0.800034841810066,"Prior x NN Model",0.00575934909284115,NA,NA,0.386773167284054
"121",0.04,-0.1054,2019-01-01,2019-01-15,0.89996446479359,"Data",0.00216616479147548,NA,NA,0.23720038060215
"122",0.04,-0.1054,2019-01-01,2019-01-15,0.89996446479359,"Prior",0.00297727901488543,NA,NA,0.278086178125696
"123",0.04,-0.1054,2019-01-01,2019-01-15,0.89996446479359,"Prior x NN Model",0.00229023257270455,NA,NA,0.243898668159522
"124",0.04,-0.0513,2019-01-01,2019-01-15,0.949993629689531,"Data",0.00109286867483105,NA,NA,0.168482044581199
"125",0.04,-0.0513,2019-01-01,2019-01-15,0.949993629689531,"Prior",0.00156457314733416,NA,NA,0.201589343882858
"126",0.04,-0.0513,2019-01-01,2019-01-15,0.949993629689531,"Prior x NN Model",0.00107328582089394,NA,NA,0.166965726391535
"127",0.04,-0.0253,2019-01-01,2019-01-15,0.975017362939282,"Data",0.000696553994865558,NA,NA,0.134507663554719
"128",0.04,-0.0253,2019-01-01,2019-01-15,0.975017362939282,"Prior",0.000892731652129441,NA,NA,0.152275523707013
"129",0.04,-0.0253,2019-01-01,2019-01-15,0.975017362939282,"Prior x NN Model",0.00071221764665097,NA,NA,0.136011615876262
"130",0.04,0,2019-01-01,2019-01-15,1,"Data",0.000318798516488037,NA,NA,0.0909971480198211
"131",0.04,0,2019-01-01,2019-01-15,1,"Prior",0.000318486854666844,NA,NA,0.0909526571107323
"132",0.04,0,2019-01-01,2019-01-15,1,"Prior x NN Model",0.00032201103749685,NA,NA,0.0914544862314924
"133",0.04,0.0247,2019-01-01,2019-01-15,1.02500757212284,"Data",0.000223522930595258,NA,NA,0.0761957374468654
"134",0.04,0.0247,2019-01-01,2019-01-15,1.02500757212284,"Prior",0.000471638719318435,NA,NA,0.110681327901021
"135",0.04,0.0247,2019-01-01,2019-01-15,1.02500757212284,"Prior x NN Model",0.000239753644564189,NA,NA,0.0789136704968007
"136",0.04,0.0488,2019-01-01,2019-01-15,1.05001032767289,"Data",0.000468882652751393,NA,NA,0.11035746554418
"137",0.04,0.0488,2019-01-01,2019-01-15,1.05001032767289,"Prior",0.0007880330667831,NA,NA,0.143067785839495
"138",0.04,0.0488,2019-01-01,2019-01-15,1.05001032767289,"Prior x NN Model",0.000474013562779874,NA,NA,0.110959634965536
"139",0.04,0.0953,2019-01-01,2019-01-15,1.09998880227224,"Data",0.00132385771425475,NA,NA,0.18543439447947
"140",0.04,0.0953,2019-01-01,2019-01-15,1.09998880227224,"Prior",0.00141710077878088,NA,NA,0.191853622420498
"141",0.04,0.0953,2019-01-01,2019-01-15,1.09998880227224,"Prior x NN Model",0.00132649124134332,NA,NA,0.1856187435497
"142",0.04,0.1823,2019-01-01,2019-01-15,1.19997413212607,"Data",0.00343244183046359,NA,NA,0.298587228894329
"143",0.04,0.1823,2019-01-01,2019-01-15,1.19997413212607,"Prior",0.00260255974717438,NA,NA,0.259997989361575
"144",0.04,0.1823,2019-01-01,2019-01-15,1.19997413212607,"Prior x NN Model",0.0034268400631845,NA,NA,0.298343481259415
"145",0.04,0.2624,2019-01-01,2019-01-15,1.30004645702234,"Data",0.00554227862681751,NA,NA,0.379414402742235
"146",0.04,0.2624,2019-01-01,2019-01-15,1.30004645702234,"Prior",0.00369576225057244,NA,NA,0.30982870217298
"147",0.04,0.2624,2019-01-01,2019-01-15,1.30004645702234,"Prior x NN Model",0.00552342040464282,NA,NA,0.378768352764137
"148",0.04,0.4055,2019-01-01,2019-01-15,1.50005233875085,"Data",0.0090616160512844,NA,NA,0.485146009653498
